Week,TeamName,PlayerName,LineupPosition,Points
2,tmjones212,DRAKE LONDON,FLEX,22.80
2,tmjones212,BRIAN THOMAS,FLEX,20.80
2,tmjones212,JERRY JEUDY,FLEX,19.60
2,tmjones212,KHALIL SHAKIR,FLEX,16.20
2,tmjones212,JUSTIN FIELDS,SUPER_FLEX,23.10
2,BaoDown,KYLER MURRAY,QB,56.40
2,BaoDown,ALVIN KAMARA,RB,65.00
2,BaoDown,DEVON ACHANE,RB,49.00
2,BaoDown,STEFON DIGGS,WR,11.40
2,BaoDown,JAMARR CHASE,WR,11.00
2,BaoDown,MARK ANDREWS,TE,14.20
2,BaoDown,BREECE HALL,FLEX,38.80
2,BaoDown,SAQUON BARKLEY,FLEX,32.20
2,BaoDown,ZACK MOSS,FLEX,10.40
2,BaoDown,JAKOBI MEYERS,FLEX,9.80
2,BaoDown,SAM DARNOLD,SUPER_FLEX,42.20
2,EBao,JOE BURROW,QB,35.60
2,EBao,DEVIN SINGLETARY,RB,22.00
2,EBao,TRAVIS ETIENNE,RB,20.60
2,EBao,NICO COLLINS,WR,44.00
2,EBao,JAXON SMITH NJIGBA,WR,38.40
2,EBao,TREY MCBRIDE,TE,25.40
2,EBao,KYREN WILLIAMS,FLEX,20.40
2,EBao,JAVONTE WILLIAMS,FLEX,18.00
2,EBao,JAYLEN WARREN,FLEX,14.20
2,EBao,JAYDEN REED,FLEX,11.20
2,EBao,TREVOR LAWRENCE,SUPER_FLEX,31.00
2,Halteclere,JARED GOFF,QB,26.70
2,Halteclere,JK DOBBINS,RB,36.20
2,Halteclere,JAHMYR GIBBS,RB,31.20
2,Halteclere,MALIK NABERS,WR,44.40
2,Halteclere,GARRETT WILSON,WR,16.40
2,Halteclere,DALTON KINCAID,TE,10.60
2,Halteclere,NAJEE HARRIS,FLEX,15.80
2,Halteclere,ELIJAH MOORE,FLEX,14.80
2,Halteclere,ZAMIR WHITE,FLEX,10.60
2,Halteclere,ROME ODUNZE,FLEX,9.60
2,Halteclere,JUSTIN HERBERT,SUPER_FLEX,20.60
2,androooooo,BROCK PURDY,QB,36.30
2,androooooo,RICO DOWDLE,RB,15.80
